hop	package	version	architecture	component	suite	pocket	filename	relative_pool_path	size_bytes	sha256	original_url	acquisition_source	seed_local_path	profile	provenance
jammy-to-noble	linux-modules-6.8.0-1063-aws	6.8.0-1063.66	amd64	main	noble-updates	updates	linux-modules-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	pool/main/l/linux-aws/linux-modules-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	37621952	fe5a4303693d1df7d1588998e2e576cf18a9003b0fb9687da74a62f69bfb08f1	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws/linux-modules-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-image-6.8.0-1063-aws	6.8.0-1063.66	amd64	main	noble-updates	updates	linux-image-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	pool/main/l/linux-signed-aws/linux-image-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	14726954	b87336e50ceb23a8701ca5452fc9ac607da5f7bf100c6120a12bc6d72a45d9f1	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-signed-aws/linux-image-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-tools-6.8.0-1063-aws	6.8.0-1063.66	amd64	main	noble-updates	updates	linux-tools-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	pool/main/l/linux-aws/linux-tools-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	1778	23c1dbb2c1f282905a6f3412d57ba4bf182b3ef0e88c26fc225499ff3e6e9790	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws/linux-tools-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-tools-7.0.0-1011-aws	7.0.0-1011.11~24.04.1	amd64	main	noble-updates	updates	linux-tools-7.0.0-1011-aws_7.0.0-1011.11~24.04.1_amd64.deb	pool/main/l/linux-aws-7.0/linux-tools-7.0.0-1011-aws_7.0.0-1011.11~24.04.1_amd64.deb	1632	294c57e12b5ba3f3a64b8ba08c67df07ade9bdff7ae884e7459d72ef0c5a9e2d	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws-7.0/linux-tools-7.0.0-1011-aws_7.0.0-1011.11~24.04.1_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	python3-asn1crypto	1.5.1-3	all	universe	noble-updates	updates	python3-asn1crypto_1.5.1-3_all.deb	pool/universe/a/asn1crypto/python3-asn1crypto_1.5.1-3_all.deb	79666	92be3d563557d1b84792acd8b815159e0566ba2cad8612b8c83805dce6fb832c	http://archive.ubuntu.com/ubuntu/pool/universe/a/asn1crypto/python3-asn1crypto_1.5.1-3_all.deb	downloaded		aws	profile=aws
jammy-to-noble	python3-entrypoints	0.4-2	all	universe	noble-updates	updates	python3-entrypoints_0.4-2_all.deb	pool/universe/e/entrypoints/python3-entrypoints_0.4-2_all.deb	7146	a52f2c879ad465b3ab3c1f1778e84c41860fb948d61e1beebaa2ce1c93340f1f	http://archive.ubuntu.com/ubuntu/pool/universe/e/entrypoints/python3-entrypoints_0.4-2_all.deb	downloaded		aws	profile=aws
jammy-to-noble	python3-requests-unixsocket	0.3.0-3ubuntu3	all	universe	noble-updates	updates	python3-requests-unixsocket_0.3.0-3ubuntu3_all.deb	pool/universe/p/python-requests-unixsocket/python3-requests-unixsocket_0.3.0-3ubuntu3_all.deb	7438	6ea2224f9c1b3ade67daff87f791efc3f229efb457fe891a0721b220993f6965	http://archive.ubuntu.com/ubuntu/pool/universe/p/python-requests-unixsocket/python3-requests-unixsocket_0.3.0-3ubuntu3_all.deb	downloaded		aws	profile=aws
jammy-to-noble	apparmor	2.10.95-0ubuntu2.12	amd64	main	noble-updates	updates	apparmor_2.10.95-0ubuntu2.12_amd64.deb	pool/main/a/apparmor/apparmor_2.10.95-0ubuntu2.12_amd64.deb	450598	fd7c236bd210b4c8e6420fbd9f800292f7dab481c8b32544489ba520bf0d188c	http://archive.ubuntu.com/ubuntu/pool/main/a/apparmor/apparmor_2.10.95-0ubuntu2.12_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	apport	2.20.1-0ubuntu2.30+esm7	all	main	noble-updates	updates	apport_2.20.1-0ubuntu2.30+esm7_all.deb	pool/main/a/apport/apport_2.20.1-0ubuntu2.30+esm7_all.deb	122710	4980a8e434d09b17cd0876fa9837e0e9021315458ff4dea850504e6211b72fb8	http://archive.ubuntu.com/ubuntu/pool/main/a/apport/apport_2.20.1-0ubuntu2.30+esm7_all.deb	downloaded		aws	profile=aws
jammy-to-noble	apt-transport-https	1.2.35	amd64	main	noble-updates	updates	apt-transport-https_1.2.35_amd64.deb	pool/main/a/apt/apt-transport-https_1.2.35_amd64.deb	26626	68f4184d44dac3e5e748959b33e0d2385f18992d8bb4f6373e91a02bfd6739cc	http://archive.ubuntu.com/ubuntu/pool/main/a/apt/apt-transport-https_1.2.35_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	apt-utils	1.2.35	amd64	main	noble-updates	updates	apt-utils_1.2.35_amd64.deb	pool/main/a/apt/apt-utils_1.2.35_amd64.deb	196204	b0a0f704641c8cdce837067f886d6e5d6d166364b12ce5ad437e12fcabea8c4a	http://archive.ubuntu.com/ubuntu/pool/main/a/apt/apt-utils_1.2.35_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	apt	1.2.35	amd64	main	noble-updates	updates	apt_1.2.35_amd64.deb	pool/main/a/apt/apt_1.2.35_amd64.deb	1106944	a458b534d0fda677e2c659ed25fd41fc436afd5136d50b84d7a4a3d8a1fad156	http://archive.ubuntu.com/ubuntu/pool/main/a/apt/apt_1.2.35_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	base-files	9.4ubuntu4.14	amd64	main	noble-updates	updates	base-files_9.4ubuntu4.14_amd64.deb	pool/main/b/base-files/base-files_9.4ubuntu4.14_amd64.deb	60898	82f7ad9bc2a9a0f84b2c62d9ebbd30e2ce429fcc51538879dbf88202e3d22221	http://archive.ubuntu.com/ubuntu/pool/main/b/base-files/base-files_9.4ubuntu4.14_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	bind9-host	1:9.10.3.dfsg.P4-8ubuntu1.19	amd64	main	noble-updates	updates	bind9-host_1:9.10.3.dfsg.P4-8ubuntu1.19_amd64.deb	pool/main/b/bind9/bind9-host_9.10.3.dfsg.P4-8ubuntu1.19_amd64.deb	38282	d3ab09aa296dc4b653e9d3168bc77bbb353cf344e620ca3514c7d3bd8c183f5b	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/bind9-host_9.10.3.dfsg.P4-8ubuntu1.19_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	distro-info-data	0.28ubuntu0.22	all	main	noble-updates	updates	distro-info-data_0.28ubuntu0.22_all.deb	pool/main/d/distro-info-data/distro-info-data_0.28ubuntu0.22_all.deb	5262	012d67414140cbdd25c65a7f66e8c5107e310b040776b0636771648e561173ea	http://archive.ubuntu.com/ubuntu/pool/main/d/distro-info-data/distro-info-data_0.28ubuntu0.22_all.deb	downloaded		aws	profile=aws
jammy-to-noble	distro-info	0.14ubuntu0.3	amd64	main	noble-updates	updates	distro-info_0.14ubuntu0.3_amd64.deb	pool/main/d/distro-info/distro-info_0.14ubuntu0.3_amd64.deb	20188	4fa3ddadf3bc4bc7ae0b4aeda479f3f06059d908c4371cd0339fd26e14539fdc	http://archive.ubuntu.com/ubuntu/pool/main/d/distro-info/distro-info_0.14ubuntu0.3_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	dnsutils	1:9.10.3.dfsg.P4-8ubuntu1.19	amd64	main	noble-updates	updates	dnsutils_1:9.10.3.dfsg.P4-8ubuntu1.19_amd64.deb	pool/main/b/bind9/dnsutils_9.10.3.dfsg.P4-8ubuntu1.19_amd64.deb	88864	e2d66440568dcb73b41f8566a40ad84ded8c3e4c4dee9cebda28cdcda98e0aff	http://archive.ubuntu.com/ubuntu/pool/main/b/bind9/dnsutils_9.10.3.dfsg.P4-8ubuntu1.19_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	grub-common	2.02~beta2-36ubuntu3.32	amd64	main	noble-updates	updates	grub-common_2.02~beta2-36ubuntu3.32_amd64.deb	pool/main/g/grub2/grub-common_2.02~beta2-36ubuntu3.32_amd64.deb	1709082	58fef454b698ca4c512c6096a448c14888b96a6b5d514709120d9e51dd42fbd4	http://archive.ubuntu.com/ubuntu/pool/main/g/grub2/grub-common_2.02~beta2-36ubuntu3.32_amd64.deb	downloaded		aws	profile=aws
